Bezirk;Name;Role;department_keywords;Party;SourceURL;RoleRaw
Tempelhof-Schöneberg;Eva Majewski Sparacino;Stadträtin;["stadtentwicklung","facility_management"];CDU;https://www.berlin.de/ba-tempelhof-schoeneberg/politik-und-verwaltung/bezirksamt/das-kollegium/#majewski; Eva Majewski Sparacino (CDU)
Tempelhof-Schöneberg;Matthias Steuckardt;Stadtrat;["buergerdienste","soziales","senioren"];CDU;https://www.berlin.de/ba-tempelhof-schoeneberg/politik-und-verwaltung/bezirksamt/das-kollegium/#steuckardt; Matthias Steuckardt (CDU)
Tempelhof-Schöneberg;Oliver Schworck;Stadtrat;["jugend","gesundheit"];SPD;https://www.berlin.de/ba-tempelhof-schoeneberg/politik-und-verwaltung/bezirksamt/das-kollegium/#schworck; Oliver Schworck (SPD)
Tempelhof-Schöneberg;Saskia Ellenbeck;Stadträtin;["ordnung","strassen","gruenflaechen","umwelt","naturschutz"];Grüne;https://www.berlin.de/ba-tempelhof-schoeneberg/politik-und-verwaltung/bezirksamt/das-kollegium/#ellenbeck; Saskia Ellenbeck (Grüne)
Tempelhof-Schöneberg;Tobias Dollase;Stadtrat;["schule","sport","weiterbildung","kultur"];parteilos;https://www.berlin.de/ba-tempelhof-schoeneberg/politik-und-verwaltung/bezirksamt/das-kollegium/#dollase; Tobias Dollase (parteilos)

Treptow-Köpenick;Oliver Igel;Bezirksbürgermeister;["buergerdienste","personal","finanzen","liegenschaften","wirtschaft"];SPD;https://www.berlin.de/ba-treptow-koepenick/politik-und-verwaltung/bezirksamt/artikel.4995.php; Oliver Igel (SPD)
Treptow-Köpenick;André Grammelsdorff;Stadtrat;["jugend"];CDU;https://www.berlin.de/ba-treptow-koepenick/politik-und-verwaltung/bezirksamt/grammelsdorff/artikel.1341183.php; André Grammelsdorff (CDU)
Treptow-Köpenick;Bernd Geschanowski;Stadtrat;["ordnung"];AfD;https://www.berlin.de/ba-treptow-koepenick/politik-und-verwaltung/bezirksamt/geschanowski/artikel.570290.php; Bernd Geschanowski (AfD)
Treptow-Köpenick;Carolin Weingart;Stadträtin;["soziales","gesundheit","arbeit","teilhabe"];Linke;https://www.berlin.de/ba-treptow-koepenick/politik-und-verwaltung/bezirksamt/weingart/artikel.1147025.php; Carolin Weingart (Linke)
Treptow-Köpenick;Claudia Leistner;Stadträtin;["stadtentwicklung","strassen","gruenflaechen","umwelt"];Grüne;https://www.berlin.de/ba-treptow-koepenick/politik-und-verwaltung/bezirksamt/leistner/artikel.1149598.php; Claudia Leistner (Grüne)
Treptow-Köpenick;Marco Brauchmann;Stadtrat;["weiterbildung","schule","kultur","sport"];CDU;https://www.berlin.de/ba-treptow-koepenick/politik-und-verwaltung/bezirksamt/brauchmann/artikel.1149945.php; Marco Brauchmann (CDU)
